Unique Specimen Number,Label Date,Site,Display Date,Station,Collection Method,Specimen Kind ,Genus,Subgenus,Species,Subspecies,New record,Label Name,Short label name,Sex,Voucher Specimen,Questionable or Incomplete Identification,Broken Specimen,Entered by,Entered Date,NOTES,Count
15,20150620,POS,20-Jun-15,POS2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
16,20150620,POS,20-Jun-15,POS2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
17,20160610,POS,10-Jun-16,POS2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
18,20140714,POS,14-Jul-14,POS2,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
19,20150620,POS,20-Jun-15,POS3,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
20,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
21,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
22,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
23,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
24,20160417,POS,17-Apr-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
25,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
26,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Pyrobombus,flavifrons,NA,N,Bombus (Pyrobombus) flavifrons,Bombus flavifrons,F,N,N,N,VE,41327,Corrected from B. sitkensis [WRP 20240208],1
27,20140714,SCL,14-Jul-14,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
28,20140817,SCL,17-Aug-14,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
29,20150620,SCL,20-Jun-15,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
30,20160807,SCL,7-Aug-16,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
31,20150419,SCL,19-Apr-15,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
32,20140817,SCL,17-Aug-14,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
33,20140714,SCL,14-Jul-14,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
34,20150620,SCL,20-Jun-15,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
35,20160807,SCL,7-Aug-16,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
36,20150419,SCL,19-Apr-15,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
37,20160807,SCL,7-Aug-16,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
38,20160807,SCL,7-Aug-16,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
39,20160807,SCL,7-Aug-16,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
40,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
41,20150419,SCL,19-Apr-15,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
42,20150419,SCL,19-Apr-15,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
43,20150510,SCL,10-May-15,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
44,20150510,SCL,10-May-15,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
45,20160610,SCL,10-Jun-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
46,20160807,SCL,7-Aug-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
47,20160716,SCL,16-Jul-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
48,20160417,SCL,17-Apr-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
49,20140714,SCL,14-Jul-14,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
50,20160610,SCL,10-Jun-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
51,20160807,SCL,7-Aug-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
52,20150419,SCL,19-Apr-15,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
53,20160807,SCL,7-Aug-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,overflow voucher collection 5/10/19,1
54,20160807,SCL,7-Aug-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
55,20160807,SCL,7-Aug-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
56,20160807,SCL,7-Aug-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
58,20160417,SCL,17-Apr-16,SCL5,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
59,20150510,POS,10-May-15,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
60,20150419,POS,19-Apr-15,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
61,20150419,POS,19-Apr-15,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
62,20150510,POS,10-May-15,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
63,20150510,POS,10-May-15,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,overflow voucher collection 5/10/19,1
64,20160417,POS,17-Apr-16,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
65,20160417,POS,17-Apr-16,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
66,20150510,POS,10-May-15,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
67,20150419,POS,19-Apr-15,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
68,20150711,POS,11-Jul-15,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
69,20160417,POS,17-Apr-16,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
70,20160417,POS,17-Apr-16,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
71,20160417,POS,17-Apr-16,POS2,T,P,Bombus,Cullumanobombus,rufocinctus,NA,N,Bombus (Cullumanobombus) rufocinctus,Bombus rufocinctus,F,N,N,N,VE,41327,Q_ corrected from B. fervidus [WRP 20211011],1
72,20160417,POS,17-Apr-16,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
74,20150510,POS,10-May-15,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
75,20150510,POS,10-May-15,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
76,20140817,POS,17-Aug-14,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
77,20150510,POS,10-May-15,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
78,20150510,POS,10-May-15,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
79,20150510,POS,10-May-15,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
80,20150711,POS,11-Jul-15,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
81,20150419,POS,19-Apr-15,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
82,20160417,POS,17-Apr-16,POS4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41327,NA,1
83,20160610,POS,10-Jun-16,POS4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,NA,1
84,20140817,SCL,17-Aug-14,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
85,20140714,POS,14-Jul-14,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
86,20160716,SCL,16-Jul-16,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
87,20160716,SCL,16-Jul-16,SCL1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
88,20140714,SCL,14-Jul-14,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
89,20140714,SCL,14-Jul-14,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
90,20160716,SCL,16-Jul-16,SCL2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
91,20160716,SCL,16-Jul-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
92,20160807,SCL,7-Aug-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
93,20160807,SCL,7-Aug-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,corrected from M [WRP 20211011],1
94,20160807,SCL,7-Aug-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
95,20160807,SCL,7-Aug-16,SCL3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
96,20160716,SCL,16-Jul-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,corrected from M [WRP 20211011],1
97,20160716,SCL,16-Jul-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,corrected from M [WRP 20211011],1
98,20150711,SCL,11-Jul-15,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
99,20160716,SCL,16-Jul-16,SCL4,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,corrected from M [WRP 20211011],1
100,20160807,SCL,7-Aug-16,SCL5,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,corrected from M [WRP 20211011],1
101,20160807,SCL,7-Aug-16,SCL5,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,Some yellow on T3,1
102,20160807,SCL,7-Aug-16,SCL5,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
103,20140714,POS,14-Jul-14,POS1,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
104,20140714,POS,14-Jul-14,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
105,20150808,POS,8-Aug-15,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
106,20140714,POS,14-Jul-14,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
107,20140714,POS,14-Jul-14,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
108,20160807,POS,7-Aug-16,POS2,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,F,N,N,N,VE,41328,corrected from M [WRP 20211011],1
109,20160716,POS,16-Jul-16,POS3,T,P,Bombus,Thoracobombus,fervidus,NA,N,Bombus (Thoracobombus) fervidus,Bombus fervidus,M,N,N,N,VE,41328,NA,1
110,20150510,SCL,10-May-15,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
111,20150510,SCL,10-May-15,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
112,20160610,SCL,10-Jun-16,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
113,20160610,SCL,10-Jun-16,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
114,20160610,SCL,10-Jun-16,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
115,20150620,SCL,20-Jun-15,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
116,20150808,SCL,8-Aug-15,SCL1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
117,20150620,POS,20-Jun-15,POS1,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
118,20150510,SCL,10-May-15,SCL2,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
119,20150620,SCL,20-Jun-15,SCL2,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
120,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
121,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
122,20160327,SCL,27-Mar-16,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
123,20150419,SCL,19-Apr-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
124,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
125,20160610,SCL,10-Jun-16,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
126,20160417,SCL,17-Apr-16,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
127,20150510,SCL,10-May-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
128,20150510,SCL,10-May-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
129,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
130,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
131,20150620,SCL,20-Jun-15,SCL2,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
132,20150620,SCL,20-Jun-15,SCL3,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
133,20150419,SCL,19-Apr-15,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
134,20150620,SCL,20-Jun-15,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
135,20140928,SCL,28-Sep-14,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
136,20140928,SCL,28-Sep-14,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
137,20140714,SCL,14-Jul-14,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
138,20140928,SCL,28-Sep-14,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
139,20160610,SCL,10-Jun-16,SCL4,T,P,Bombus,Pyrobombus,mixtus,NA,N,Bombus (Pyrobombus) mixtus,Bombus mixtus,F,N,N,N,VE,41328,NA,1
