"","Species","Total","POS","BPF","SCL","Trap","Net","female","male"
"56","Osmia pinorum",12,1,11,0,12,0,0,12
"57","Andrena scurra",11,11,0,0,0,11,5,6
"58","Andrena hemileuca",10,3,0,7,9,1,1,9
"59","Coelioxys sodalis",9,9,0,0,9,0,3,6
"60","Lasioglossum buccale",8,4,1,3,8,0,7,1
"61","Lasioglossum inconditum",8,1,7,0,8,0,7,1
"62","Osmia tristella",8,6,1,1,6,2,6,2
"63","Lasioglossum zephyrum",7,0,0,7,7,0,7,0
"64","Megachile rotundata",7,0,2,5,7,0,3,4
"65","Andrena piperi",6,6,0,0,0,6,6,0
"66","Bombus sitkensis",6,1,3,2,6,0,2,4
"67","Coelioxys porterae",6,5,0,1,6,0,1,5
"68","Epeolus compactus",6,5,0,1,4,2,0,6
"69","Hoplitis albifrons",6,3,3,0,6,0,6,0
"70","Lasioglossum ruidosense",6,1,4,1,5,1,6,0
"71","Andrena frigida",5,5,0,0,4,1,2,3
"72","Andrena knuthiana",5,5,0,0,3,2,5,0
"73","Andrena nigrocaerulea",5,5,0,0,5,0,5,0
"74","Andrena pallidifovea",5,5,0,0,0,5,5,0
"75","Andrena vicina",5,5,0,0,0,5,2,3
"76","Andrena thaspii",4,3,1,0,3,1,4,0
"77","Hylaeus punctatus",4,3,0,1,1,3,4,0
"78","Megachile lapponica",4,0,0,4,3,1,1,3
"79","Osmia coloradensis",4,1,0,3,4,0,2,2
"80","Stelis subcaerulea",4,4,0,0,4,0,0,4
"81","Andrena perplexa",3,2,0,1,3,0,2,1
"82","Andrena rufosignata",3,3,0,0,3,0,2,1
"83","Coelioxys octodentata",3,3,0,0,3,0,3,0
"84","Lasioglossum cordleyi",3,1,2,0,2,1,3,0
"85","Nomada suavis",3,3,0,0,3,0,1,2
"86","Osmia phaceliae",3,2,0,1,3,0,3,0
"87","Osmia texana",3,2,0,1,2,1,3,0
"88","Andrena crataegi",2,2,0,0,1,1,2,0
"89","Andrena trevoris",2,0,1,1,2,0,1,1
"90","Andrena vicinoides",2,0,0,2,2,0,0,2
"91","Anthophora terminalis",2,0,1,1,2,0,1,1
"92","Bombus rufocinctus",2,2,0,0,1,1,2,0
"93","Diadasia enavata",2,2,0,0,2,0,2,0
"94","Epeolus olympiellus",2,2,0,0,2,0,1,1
"95","Lasioglossum titusi",2,2,0,0,0,2,2,0
"96","Megachile frigida",2,1,1,0,2,0,1,1
"97","Osmia bucephala",2,1,1,0,2,0,1,1
"98","Osmia caerulescens",2,1,1,0,2,0,1,1
"99","Agapostemon femoratus",1,1,0,0,1,0,1,0
"100","Andrena buckelli",1,0,0,1,1,0,0,1
"101","Andrena gordoni",1,1,0,0,0,1,1,0
"102","Andrena hippotes",1,0,0,1,1,0,1,0
"103","Andrena miranda",1,1,0,0,1,0,1,0
"104","Andrena subaustralis",1,1,0,0,1,0,0,1
"105","Andrena subtilis",1,1,0,0,0,1,1,0
"106","Andrena transnigra",1,0,0,1,1,0,0,1
"107","Coelioxys gilensis",1,1,0,0,0,1,1,0
"108","Colletes kincaidii",1,1,0,0,1,0,0,1
"109","Lasioglossum nigroviride",1,0,1,0,1,0,0,1
"110","Lasioglossum ovaliceps",1,0,0,1,1,0,1,0
"111","Lasioglossum punctatoventre",1,1,0,0,0,1,1,0
"112","Lasioglossum sedi",1,1,0,0,0,1,1,0
"113","Lasioglossum yukonae",1,0,0,1,1,0,1,0
"114","Megachile fidelis",1,1,0,0,0,1,1,0
"115","Megachile gravita",1,1,0,0,1,0,0,1
"116","Megachile onobrychidis",1,1,0,0,1,0,1,0
"117","Nomada formula",1,1,0,0,1,0,1,0
"118","Osmia densa",1,0,0,1,1,0,1,0
